Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,MWIS-9H5NXX,Athlete Eats,2837 Cherokee,St Louis,MO,63118,932-5566,,Permitted
FoodFacility,Active,Permitted,1400484,Atlas Restaurant & Lunch Room,5513 Pershing,St Louis,MO,63112,367-6800,,Permitted
FoodFacility,Active,Permitted,38068,Atomic Cowboy,4140 MANCHESTER,St Louis,MO,63110,775-0775,,Permitted
FoodFacility,Active,Permitted,1400274,Avalon Garden,4359 Taft Ave,St Louis,MO,63116,752-2022,,Permitted
FoodFacility,Active,Permitted,MLEN-9GNU7T,Avenue Mini Mart,5406 St Louis Ave,SAINT LOUIS,MO,63120,660-5163,,Permitted
FoodFacility,Active,Permitted,1200670,A'viands @ City Justice Center,200 S Tucker,St Louis,MO,63103,,,Permitted
FoodFacility,Active,Permitted,1200671,A'viands @ Medium Security Institution,7600 Hall,St Louis,MO,63147,621-1013,,Permitted
FoodFacility,Active,Permitted,38081,Aya Sofia Restaurant,6671 Chippewa,St Louis,MO,63109,645-9919,,Permitted
FoodFacility,Active,Permitted,1200896,A-Z Laclede Market Llc,4569 LACLEDE,St Louis,MO,63108,367-4014,,Permitted
FoodFacility,Active,Permitted,1200759,B & B Supermarket,954 GOODFELLOW,St Louis,MO,63112,454-1466,,Permitted
FoodFacility,Active,Permitted,MWHN-96CNLG,B J's Gul-licious Backyard BBQ,6900 Noonan,St Louis,MO,63143,,,Permitted
FoodFacility,Active,Permitted,MLEN-9F5P9J,B2B Catering of St Louis,1435 North Market,SAINT LOUIS,MO,63106,593-3771,,Permitted
FoodFacility,Active,Permitted,37455,Babe's Tavern & Garden,3215 IVANHOE,St Louis,MO,63139,647-3436,,Permitted
FoodFacility,Active,Permitted,1400569,Baby Steps Academy II,6831 MANCHESTER,St Louis,MO,63143,646-1001,,Permitted
FoodFacility,Active,Permitted,1200802,Babylon Grocery & Bakery,3803 MERAMEC,St Louis,MO,63116,832-3447,,Permitted
FoodFacility,Active,Permitted,11000042,Babylon Grocery & Bakery Bbq,3803 Meramec,St Louis,MO,63116,832-3447,,Permitted
FoodFacility,Active,Permitted,MWIS-9DGRPY,Backyard BBQ,5705 Page Blvd,St Louis,MO,63112,327-7868,,Permitted
FoodFacility,Active,Permitted,1200414,Bad Dog,3960 Chouteau,St Louis,MO,63110,652-0011,,Permitted
FoodFacility,Active,Permitted,20724,Baden Christian Childcare Ctr,8375 N BROADWAY,St Louis,MO,63147,261-1376,,Permitted
FoodFacility,Active,Permitted,1200969,Baetje Farms,730 CARROLL SOULARD,St Louis,MO,63104,,,Permitted
FoodFacility,Active,Permitted,1200969,Baetje Farms,8932 JACKSON SCHOOL Rd,St Louis,MO,63627,483-9021,,Permitted
FoodFacility,Active,Permitted,MWHN-9B2QXK,Baida Restaurant,3191 S GRAND,St Louis,MO,63118,932-9.49,,Permitted
FoodFacility,Active,Permitted,CGIA-9P8LX2,Baiku Sushi Lounge,3407 Olive,St Louis,MO,63103,,,Permitted
FoodFacility,Active,Permitted,37743,Bailey's Chocolate Bar,1915 PARK,St Louis,MO,63104,241-8100,,Permitted
FoodFacility,Active,Permitted,37160,Balloons Bears & Babies,6307 Windham Ave,St Louis,MO,63120,381-8697,,Permitted
FoodFacility,Active,Permitted,38133,Bamboo Bistro,214 N 4Th,St Louis,MO,63102,(31-8884,,Permitted
FoodFacility,Active,Permitted,19214,Banh Mi So 1,4071 S Grand,St Louis,MO,63118,353-0545,,Permitted
FoodFacility,Active,Permitted,KHUS-9NKSTJ,Bannister House,3824 Lindell,St Louis,MO,63108,,,Permitted
FoodFacility,Active,Permitted,1200083,Banquet Kitchen Four Seasons Hotel,999 N 2ND,St Louis,MO,63102,881-2010,,Permitted
FoodFacility,Active,Permitted,37213,Banquet Kitchen@Renaissance St Louis Grand & Suite,800 Washington Ave,St Louis,MO,63101,621-9600,,Permitted
FoodFacility,Active,Permitted,CGIA-9RHMUW,Bar : PM,7109 S Broadway,SAINT LOUIS,MO,63111,,,Permitted
FoodFacility,Active,Permitted,1200183,Bar 101 Soulard,1724 S Broadway,St Louis,MO,63104,621-5400,,Permitted
FoodFacility,Active,Permitted,1400589,Bar Infinity,4747 MORGANFORD,St Louis,MO,63116,276-3284,,Permitted
FoodFacility,Active,Permitted,21016,Bar Italia,13 Maryland Plz,St Louis,MO,63108,361-7010,,Permitted
FoodFacility,Active,Permitted,1201114,Bar Louie,14 Maryland Plz,St Louis,MO,63108,678-3385,,Permitted
FoodFacility,Active,Permitted,MWHN-9BTHZB,Bar None,8114 N BROADWAY 16,St Louis,MO,63147,484-1791,,Permitted
FoodFacility,Active,Permitted,35541,Barnes & Noble Bookstore,4905 CHILDRENS Place,St Louis,MO,63110,362-3240,,Permitted
FoodFacility,Active,Permitted,16956,Barnes Hospital Clayton/News,4353 CLAYTON,St Louis,MO,63110,,,Permitted
FoodFacility,Active,Permitted,19856,Barnes Hospital Main Kitchen,1 BARNES JEWISH PLZ MS 90-17-334,St Louis,MO,63110,454-7150,,Permitted
FoodFacility,Active,Permitted,1200456,Barnes Jewish South Coffee Bar,1 BARNES JEWISH PLZ,St Louis,MO,63110,362-5619,,Permitted
FoodFacility,Active,Permitted,1200672,Barnett Market,2600 Virginia,St Louis,MO,63118,776-3600,,Permitted
FoodFacility,Active,Permitted,37268,Barney's Sports Pub,6027 Chippewa St,St Louis,MO,63109,457-0240,,Permitted
FoodFacility,Active,Permitted,1200125,Bartolino's Osteria,2103 Sulphur,St Louis,MO,631398,644-2266,,Permitted
FoodFacility,Active,Permitted,37394,Basic Bakery,5506 S Kingshighway,St Louis,MO,63109,402-2757,,Permitted
FoodFacility,Active,Permitted,1200094,Basil Spice Thai Cuisine,3183 S GRAND,St Louis,MO,63118,776-1530,,Permitted
FoodFacility,Active,Permitted,1200040,BBC Asian Cafe Creperie & Bar,243 N Euclid,St Louis,MO,63108,361-7770,,Permitted
